Name,PURL,cURI,Definition,cURI2,URI2,RDALabel,RDADefinition,RDAStatus
Triennial,http://purl.org/cld/freq/triennial ,freq:triennial,The event occurs every three years.,rdafr:1015,http://www.rdaregistry.info/termList/frequency/#1015,triennial,A frequency for a diachronic work that is issued or updated once every three years.,Published
Biennial,http://purl.org/cld/freq/biennial ,freq:biennial,The event occurs every two years.,rdafr:1014,http://www.rdaregistry.info/termList/frequency/#1014,biennial,A frequency for a diachronic work that is issued or updated once every two years.,Published
Annual,http://purl.org/cld/freq/annual ,freq:annual,The event occurs once a year.,rdafr:1013,http://www.rdaregistry.info/termList/frequency/#1013,annual,A frequency for a diachronic work that is issued or updated once every year.,Published
Semiannual,http://purl.org/cld/freq/semiannual ,freq:semiannual,The event occurs twice a year.,rdafr:1012,http://www.rdaregistry.info/termList/frequency/#1012,semiannual,A frequency for a diachronic work that is issued or updated twice every year.,Published
Three times a year,http://purl.org/cld/freq/threeTimesAYear ,freq:threeTimesAYear,The event occurs three times a year.,rdafr:1011,http://www.rdaregistry.info/termList/frequency/#1011,three times a year,A frequency for a diachronic work that is issued or updated three times every year.,Published
Quarterly,http://purl.org/cld/freq/quarterly ,freq:quarterly,The event occurs every three months.,rdafr:1010,http://www.rdaregistry.info/termList/frequency/#1010,quarterly,A frequency for a diachronic work that is issued or updated once every three months.,Published
Bimonthly,http://purl.org/cld/freq/bimonthly ,freq:bimonthly,The event occurs every two months.,rdafr:1007,http://www.rdaregistry.info/termList/frequency/#1007,bimonthly,A frequency for a diachronic work that is issued or updated once every two months.,Published
Monthly,http://purl.org/cld/freq/monthly ,freq:monthly,The event occurs once a month.,rdafr:1008,http://www.rdaregistry.info/termList/frequency/#1008,monthly,A frequency for a diachronic work that is issued or updated once every month.,Published
Semimonthly,http://purl.org/cld/freq/semimonthly ,freq:semimonthly,The event occurs twice a month.,rdafr:1009,http://www.rdaregistry.info/termList/frequency/#1009,semimonthly,A frequency for a diachronic work that is issued or updated twice every month.,Published
Biweekly,http://purl.org/cld/freq/biweekly ,freq:biweekly,The event occurs every two weeks.,rdafr:1003,http://www.rdaregistry.info/termList/frequency/#1003,biweekly,A frequency for a diachronic work that is issued or updated once every two weeks.,Published
Three times a month,http://purl.org/cld/freq/threeTimesAMonth ,freq:threeTimesAMonth,The event occurs three times a month.,rdafr:1006,http://www.rdaregistry.info/termList/frequency/#1006,three times a month,A frequency for a diachronic work that is issued or updated three times every month.,Published
Weekly,http://purl.org/cld/freq/weekly ,freq:weekly,The event occurs once a week.,rdafr:1004,http://www.rdaregistry.info/termList/frequency/#1004,weekly,A frequency for a diachronic work that is issued or updated once every week.,Published
Semiweekly,http://purl.org/cld/freq/semiweekly ,freq:semiweekly,The event occurs twice a week.,rdafr:1005,http://www.rdaregistry.info/termList/frequency/#1005,semiweekly,A frequency for a diachronic work that is issued or updated twice every week.,Published
Three times a week,http://purl.org/cld/freq/threeTimesAWeek ,freq:threeTimesAWeek,The event occurs three times a week.,rdafr:1002,http://www.rdaregistry.info/termList/frequency/#1002,three times a week,A frequency for a diachronic work that is issued or updated three times every week.,Published
Daily,http://purl.org/cld/freq/daily ,freq:daily,The event occurs once a day.,rdafr:1001,http://www.rdaregistry.info/termList/frequency/#1001,daily,"A frequency for a diachronic work that is issued or updated once every day, usually exclusive of nonworking days.",Published
Continuous,http://purl.org/cld/freq/continuous ,freq:continuous,The event repeats without interruption.,,,,,
Irregular,http://purl.org/cld/freq/irregular ,freq:irregular,The event occurs at uneven,rdafr:1016,http://www.rdaregistry.info/termList/frequency/#1016,irregular,A frequency for a diachronic work that is issued or updated with no consistent interval between issues or updates.,Published
