id,uri,label,definition,lookup,comment
Collection,http://purl.org/dc/dcmitype/Collection,Collection,"An aggregation of resources.",Collection,"A collection is described as a group; its parts may also be separately described.
Dataset,http://purl.org/dc/dcmitype/Dataset,Dataset,"Data encoded in a defined structure.",Dataset,"Examples include lists, tables, and databases. A dataset may be useful for direct machine processing."
Event,http://purl.org/dc/dcmitype/Event,Event,"A non-persistent, time-based occurrence.",Event,"Metadata for an event provides descriptive information that is the basis for discovery of the purpose, location, duration, and responsible agents associated with an event. Examples include an exhibition, webcast, conference, workshop, open day, performance, battle, trial, wedding, tea party, conflagration."
Image,http://purl.org/dc/dcmitype/Image,Image,"A visual representation other than text.",Image,"Examples include images and photographs of physical objects, paintings, prints, drawings, other images and graphics, animations and moving pictures, film, diagrams, maps, musical notation. Note that Image may include both electronic and physical representations."
InteractiveResource,http://purl.org/dc/dcmitype/InteractiveResource,Interactive Resource,"A resource requiring interaction from the user to be understood, executed, or experienced.",InteractiveResource,"Examples include forms on Web pages, applets, multimedia learning objects, chat services, or virtual reality environments."
MovingImage,http://purl.org/dc/dcmitype/MovingImage,Moving Image,"A series of visual representations imparting an impression of motion when shown in succession.",MovingImage,"Examples include animations, movies, television programs, videos, zoetropes, or visual output from a simulation. Instances of the type Moving Image must also be describable as instances of the broader type Image."
PhysicalObject,http://purl.org/dc/dcmitype/PhysicalObject,Physical Object,"An inanimate, three-dimensional object or substance.",PhysicalObject,"Note that digital representations of, or surrogates for, these objects should use Image, Text or one of the other types."
Service,http://purl.org/dc/dcmitype/Service,Service,"A system that provides one or more functions.",Service,"Examples include a photocopying service, a banking service, an authentication service, interlibrary loans, a Z39.50 or Web server."
Software,http://purl.org/dc/dcmitype/Software,Software,"A computer program in source or compiled form.",Software,"Examples include a C source file, MS-Windows .exe executable, or Perl script."
Sound,http://purl.org/dc/dcmitype/Sound,Sound,"A resource primarily intended to be heard.",Sound,"Examples include a music playback file format, an audio compact disc, and recorded speech or sounds."
StillImage,http://purl.org/dc/dcmitype/StillImage,Still Image,"A static visual representation.",StillImage,"Examples include paintings, drawings, graphic designs, plans and maps. Recommended best practice is to assign the type Text to images of textual materials. Instances of the type Still Image must also be describable as instances of the broader type Image."
Text,http://purl.org/dc/dcmitype/Text,Text,"A resource consisting primarily of words for reading.",Text,"Examples include books, letters, dissertations, poems, newspapers, articles, archives of mailing lists. Note that facsimiles or images of texts are still of the genre Text."
